state,location,plz,lat,lon
Nordrhein Westfalen,Dortmund,44269,51.4875222,7.5422562
Rheinland Pfalz,Böhl Iggelheim,67459,49.3753066,8.3041363
Sachsen,Dresden,1097,-33.0466998,-71.5754054
Sachsen,Freiberg,9599,50.9207102,13.3496221
Bremen,Bremen,28213,53.090355,8.862732
Schleswig Holstein,Struxdorf,24891,54.6293985,9.6386931
Bremen,Bremen,28717,53.17612635,8.68022760510075
Baden Württemberg,Denzlingen,79211,48.0669167,7.8862704
Nordrhein Westfalen,Gelsenkirchen,45888,51.5110321,7.0960124
Sachsen,Chemnitz,9130,50.8322608,12.9252977
Sachsen,Frankenberg/Sachsen,9669,50.9110365,13.0331023
Rheinland Pfalz,Frankweiler,76833,49.227802,8.0580516
Nordrhein Westfalen,Hamm,59065,51.6999817,7.8103147
Nordrhein Westfalen,Dortmund,44229,51.5142273,7.4652789
Thüringen,Weimar,99427,50.9959446,11.3427304
Hessen,Hanau,63452,50.1427074,8.8958807
Sachsen,Döbeln,4720,51.1167001,13.1166999
Nordrhein Westfalen,Duisburg,47166,51.434999,6.759562
Niedersachsen,Göttingen,37073,51.5345468,9.9400954
Schleswig Holstein,Neumünster,24539,54.0626731,9.9844444
Baden Württemberg,Stuttgart,70376,48.8040978,9.2079005
Sachsen,Leipzig,4229,-34.6165597,-58.5110546
Bayern,München,80331,48.1354768,11.564963
Hamburg,Hamburg,22111,53.5507385,10.0839877
Niedersachsen,Braunschweig,38118,52.2538547,10.4963589
Baden Württemberg,Nürtingen,72622,48.6265854,9.3365463
Sachsen Anhalt,Magdeburg,39128,52.1560163,11.6213961
Bayern,München,80804,48.1775069,11.5757038
Mecklenburg Vorpommern,Schwerin,19055,53.6300365,11.4153876
Bayern,Passau,94036,48.567398,13.4119025
Nordrhein Westfalen,Erkrath,40699,51.2111978,6.9706657
Bayern,München,80809,48.1865742,11.5515828
Sachsen,Reichenbach im Vogtland,8468,50.6200076,12.298936
Hessen,Raunheim,65479,50.0096998,8.4498124
Sachsen,Freital,1705,51.0127549,13.6500472
Sachsen,Löbau,2708,51.0947288,14.6692423
Nordrhein Westfalen,Bergisch Gladbach,51427,50.9929303,7.1277379
Nordrhein Westfalen,Essen,45329,51.4582235,7.0158171
Sachsen,Riesa,1589,51.3038241,13.308828
Baden Württemberg,Mannheim,68309,49.5114636,8.535005
Niedersachsen,Brake Unterweser,26919,53.3256109,8.4806296
Nordrhein Westfalen,Arnsberg,59759,51.4002384,8.0605908
Nordrhein Westfalen,Unna,59425,51.5539797,7.6759859
Sachsen,Radibor,2627,51.2433034,14.3981247
Berlin,Berlin,13591,52.5496077,13.1313746
Hessen,Frankfurt am Main,60318,50.1106444,8.6820917
Sachsen Anhalt,Halle Saale,6132,51.5134896,11.955001603538504
Schleswig Holstein,Herzhorn,25379,53.7861008,9.4855379
Bayern,Aschaffenburg,63743,49.9740542,9.1493636
Brandenburg,Fürstenwalde/Spree,15517,52.3580209,14.064985
Bremen,Bremerhaven,27576,53.5586024,8.5952571
Sachsen,Hohenstein Ernstthal,9337,50.8021139,12.7072907
Hessen,Frankfurt am Main,60439,50.1649396,8.6457252
Sachsen,Chemnitz,9126,50.8322608,12.9252977
Sachsen,Bad Düben,4849,51.5911653,12.5856428
Sachsen,Dresden,1309,-33.0466998,-71.5754054
Mecklenburg Vorpommern,Schwerin,19057,53.6288297,11.4148038
Sachsen,Schkeuditz,4435,51.3963509,12.2216292
Hessen,Frankfurt am Main,60313,50.1146819,8.6882795
Berlin,Berlin,13086,52.56156,13.4441099
Schleswig Holstein,Wewelsfleth,25599,53.8430571,9.3504394
Nordrhein Westfalen,Dortmund,44137,51.5138975,7.4616655
Sachsen Anhalt,Helbra,6311,51.5567605,11.4932511
Rheinland Pfalz,Hochborn,55234,49.7242542,8.201367
Hessen,Linden,35440,50.5332996,8.6677674
Hessen,Flörsheim am Main,65439,50.0300641,8.4100244
Sachsen,Zwickau,8062,49.5916993,6.1350757
Hessen,Frankfurt am Main,60320,50.1410858,8.6714464
Sachsen,Leipzig,4317,-34.6165597,-58.5110546
Nordrhein Westfalen,Wuppertal,42119,51.2495402,7.1516631
Sachsen,Leipzig,4178,-34.6165597,-58.5110546
Sachsen,Zwickau,8058,49.5916993,6.1350757
Sachsen,Leipzig,4207,-34.6165597,-58.5110546
Berlin,Berlin,10179,52.512264,13.4045062
Nordrhein Westfalen,Marsberg,34431,51.4194502,8.7753868
Nordrhein Westfalen,Viersen,41748,51.2562118,6.3905476
Sachsen,Werdau,8412,51.5537681,13.0324146
Nordrhein Westfalen,Düsseldorf,40472,51.2583975,6.8176534
Thüringen,Gera,7548,50.8772301,12.0796208
Sachsen Anhalt,Magdeburg,39120,52.0794355,11.6347789
Baden Württemberg,Böblingen,71034,48.6872636,9.0053333
Bayern,Würzburg,97076,49.79245,9.932966
Berlin,Berlin,10963,52.5008861,13.3887697
Berlin,Berlin,10557,52.5241142,13.3706139
Nordrhein Westfalen,Duisburg,47228,51.4251278,6.6703476
Bayern,Kitzingen,97318,49.7260894,10.1553946
Sachsen Anhalt,Magdeburg,39114,52.1295003,11.6721382
Sachsen,Dresden,1219,42.705482,-76.9632465
Sachsen,Chemnitz,9111,50.8322608,12.9252977
Sachsen Anhalt,Osterburg Altmark,39606,52.7899044,11.7526038
Mecklenburg Vorpommern,Ribnitz Damgarten,18311,54.2433326,12.4319733
Hamburg,Hamburg,22607,53.5710315,9.8744325
Nordrhein Westfalen,Hürth,50354,50.8807379,6.876568
Sachsen,Chemnitz,9120,50.8322608,12.9252977
Nordrhein Westfalen,Mülheim an der Ruhr,45468,51.4272925,6.8829192
Baden Württemberg,Heilbronn,74076,49.142291,9.218655
Sachsen Anhalt,Halle Saale,6124,51.5134896,11.955001603538504
Hessen,Ronshausen,36217,50.9347528,9.8728887
Nordrhein Westfalen,Eschweiler,52249,50.8193091,6.2702386
Sachsen,Chemnitz,9131,50.8322608,12.9252977
Sachsen,Stollberg/Erzgebirge,9366,50.68172045,12.754000194109256
Baden Württemberg,Baden Baden,76530,48.7584582,8.241177
Baden Württemberg,Denkingen,78548,48.1106966,8.7386889
Bayern,Nürnberg,90459,49.453872,11.077298
Nordrhein Westfalen,Geilenkirchen,52511,50.963605,6.1199802
Sachsen,Leipzig,4357,-34.6165597,-58.5110546
Sachsen Anhalt,Magdeburg,39110,52.1396709,11.5906504
Nordrhein Westfalen,Remscheid,42859,51.1576646,7.1964179
Brandenburg,Neuhardenberg,15320,52.593799,14.2507934
Hessen,Wiesbaden,65183,50.0888428,8.2396787
Thüringen,Gera,7545,50.8772301,12.0796208
Bayern,München,80807,48.1868035,11.5842446
Hessen,Bad Nauheim,61231,50.3622626,8.73075
Sachsen,Dresden,1127,-33.0466998,-71.5754054
Nordrhein Westfalen,Wuppertal,42117,51.2493087,7.140505
Hessen,Kassel,34125,51.3229934,9.5129829
Nordrhein Westfalen,Bielefeld,33615,52.0316358,8.5010399
Sachsen Anhalt,Aschersleben,6449,53.6566372,13.9308868
Berlin,Berlin,12527,52.416142,13.5793661
Nordrhein Westfalen,Aachen,52070,50.776351,6.083862
Niedersachsen,Buchholz in der Nordheide,21244,53.3333021,9.8666653
Nordrhein Westfalen,Warburg,34414,51.526648,9.0444861
Nordrhein Westfalen,Bielefeld,33607,52.0125267,8.5645422
Nordrhein Westfalen,Hamm,59075,51.6971991,7.7612217
Baden Württemberg,Mannheim,68165,49.4784646,8.4963955
Sachsen,Limbach Oberfrohna,9212,50.8608138,12.7545462
Rheinland Pfalz,Wörth am Rhein,76744,49.0543232,8.2667399
Brandenburg,Brandenburg an der Havel,14772,52.4331327,12.5301165
Sachsen,Bad Lausick,4651,51.144234,12.6415822
Niedersachsen,Aurich,26603,53.4719464,7.4832304
Schleswig Holstein,Geesthacht,21502,53.4078507,10.4464257
Baden Württemberg,Karlsruhe,76131,49.0039733,8.4197446
Rheinland Pfalz,Frankenthal Pfalz,67227,49.5445804,8.3540061
Berlin,Berlin,12685,52.5418719,13.5711338
Hessen,Eltville am Rhein,65346,50.0275441,8.1189741
Mecklenburg Vorpommern,Rehna,19217,53.7750672,11.0510261
Sachsen,Eilenburg,4838,51.4586736,12.6344389
Nordrhein Westfalen,Dortmund,44329,51.5646028,7.5457728
Hessen,Frankfurt am Main,60314,50.1106444,8.6820917
Hessen,Hanau,63450,50.1334983,8.9223812
Sachsen,Chemnitz,9113,50.8322608,12.9252977
Mecklenburg Vorpommern,Diedrichshagen,17498,54.053158100000005,13.473898599999997
Sachsen,Leipzig,4157,-34.6165597,-58.5110546
Berlin,Berlin,12557,52.441468,13.5772449
Hamburg,Hamburg,20097,53.54561585,10.007820011571283
Sachsen,Leipzig,4103,-34.6165597,-58.5110546
Sachsen,Bad Gottleuba Berggießhübel,1816,50.8584186,13.9480444
Sachsen,Dresden,1099,-33.0466998,-71.5754054
Niedersachsen,Emden,26721,53.3680363,7.2061994
Bayern,München,80469,48.1339111,11.5797268
Sachsen,Dresden,1067,-33.0466998,-71.5754054
Baden Württemberg,Schorndorf,73614,48.7714102,9.5029293
Sachsen,Markneukirchen,8258,50.311883,12.3292151
Nordrhein Westfalen,Gelsenkirchen,45883,51.5110321,7.0960124
Sachsen Anhalt,Altmarkkreis Salzwedel,29416,52.76711135803571,11.089979436607145
Hessen,Kassel,34117,51.3154546,9.4924096
Schleswig Holstein,Schwarzenbek,21493,53.50663,10.5017839
Nordrhein Westfalen,Hamm,59067,51.6639597,7.7880947
Hessen,Frankfurt am Main,60388,50.1462735,8.7543238
Bayern,Straubing,94315,48.8705249,12.5511108
Niedersachsen,Lahstedt,31246,52.2295337,10.2426181
