state,location,plz
Nordrhein Westfalen,Dortmund,44269
Rheinland Pfalz,Böhl Iggelheim,67459
Sachsen,Dresden,1097
Sachsen,Freiberg,9599
Bremen,Bremen,28213
Schleswig Holstein,Struxdorf,24891
Bremen,Bremen,28717
Baden Württemberg,Denzlingen,79211
Nordrhein Westfalen,Gelsenkirchen,45888
Sachsen,Chemnitz,9130
Sachsen,Frankenberg/Sachsen,9669
Rheinland Pfalz,Frankweiler,76833
Nordrhein Westfalen,Hamm,59065
Nordrhein Westfalen,Dortmund,44229
Thüringen,Weimar,99427
Hessen,Hanau,63452
Sachsen,Döbeln,4720
Nordrhein Westfalen,Duisburg,47166
Niedersachsen,Göttingen,37073
Schleswig Holstein,Neumünster,24539
Baden Württemberg,Stuttgart,70376
Sachsen,Leipzig,4229
Bayern,München,80331
Hamburg,Hamburg,22111
Niedersachsen,Braunschweig,38118
Baden Württemberg,Nürtingen,72622
Sachsen Anhalt,Magdeburg,39128
Bayern,München,80804
Mecklenburg Vorpommern,Schwerin,19055
Bayern,Passau,94036
Nordrhein Westfalen,Erkrath,40699
Bayern,München,80809
Sachsen,Reichenbach im Vogtland,8468
Hessen,Raunheim,65479
Sachsen,Freital,1705
Sachsen,Löbau,2708
Nordrhein Westfalen,Bergisch Gladbach,51427
Nordrhein Westfalen,Essen,45329
Sachsen,Riesa,1589
Baden Württemberg,Mannheim,68309
Niedersachsen,Brake Unterweser,26919
Nordrhein Westfalen,Arnsberg,59759
Nordrhein Westfalen,Unna,59425
Sachsen,Radibor,2627
Berlin,Berlin,13591
Hessen,Frankfurt am Main,60318
Sachsen Anhalt,Halle Saale,6132
Schleswig Holstein,Herzhorn,25379
Bayern,Aschaffenburg,63743
Brandenburg,Fürstenwalde/Spree,15517
Bremen,Bremerhaven,27576
Sachsen,Hohenstein Ernstthal,9337
Hessen,Frankfurt am Main,60439
Sachsen,Chemnitz,9126
Sachsen,Bad Düben,4849
Sachsen,Dresden,1309
Mecklenburg Vorpommern,Schwerin,19057
Sachsen,Schkeuditz,4435
Hessen,Frankfurt am Main,60313
Berlin,Berlin,13086
Schleswig Holstein,Wewelsfleth,25599
Nordrhein Westfalen,Dortmund,44137
Sachsen Anhalt,Helbra,6311
Rheinland Pfalz,Hochborn,55234
Hessen,Linden,35440
Hessen,Flörsheim am Main,65439
Sachsen,Zwickau,8062
Hessen,Frankfurt am Main,60320
Sachsen,Leipzig,4317
Nordrhein Westfalen,Wuppertal,42119
Sachsen,Leipzig,4178
Sachsen,Zwickau,8058
Sachsen,Leipzig,4207
Berlin,Berlin,10179
Nordrhein Westfalen,Marsberg,34431
Nordrhein Westfalen,Viersen,41748
Sachsen,Werdau,8412
Nordrhein Westfalen,Düsseldorf,40472
Thüringen,Gera,7548
Sachsen Anhalt,Magdeburg,39120
Baden Württemberg,Böblingen,71034
Bayern,Würzburg,97076
Berlin,Berlin,10963
Berlin,Berlin,10557
Nordrhein Westfalen,Duisburg,47228
Bayern,Kitzingen,97318
Sachsen Anhalt,Magdeburg,39114
Sachsen,Dresden,1219
Sachsen,Chemnitz,9111
Sachsen Anhalt,Osterburg Altmark,39606
Mecklenburg Vorpommern,Ribnitz Damgarten,18311
Hamburg,Hamburg,22607
Nordrhein Westfalen,Hürth,50354
Sachsen,Chemnitz,9120
Nordrhein Westfalen,Mülheim an der Ruhr,45468
Baden Württemberg,Heilbronn,74076
Sachsen Anhalt,Halle Saale,6124
Hessen,Ronshausen,36217
Nordrhein Westfalen,Eschweiler,52249
Sachsen,Chemnitz,9131
Sachsen,Stollberg/Erzgebirge,9366
Baden Württemberg,Baden Baden,76530
Baden Württemberg,Denkingen,78548
Bayern,Nürnberg,90459
Nordrhein Westfalen,Geilenkirchen,52511
Sachsen,Leipzig,4357
Sachsen Anhalt,Magdeburg,39110
Nordrhein Westfalen,Remscheid,42859
Brandenburg,Neuhardenberg,15320
Hessen,Wiesbaden,65183
Thüringen,Gera,7545
Bayern,München,80807
Hessen,Bad Nauheim,61231
Sachsen,Dresden,1127
Nordrhein Westfalen,Wuppertal,42117
Hessen,Kassel,34125
Nordrhein Westfalen,Bielefeld,33615
Sachsen Anhalt,Aschersleben,6449
Berlin,Berlin,12527
Nordrhein Westfalen,Aachen,52070
Niedersachsen,Buchholz in der Nordheide,21244
